<DATE_TIME>,event_id,forecast_value,actual_value,impact_type
2024-04-12 09:45:00,250010003,300000,200000,2
2024-04-12 10:00:00,724010003,1300000,1400000,1
2024-04-12 10:00:00,724010004,3200000,3300000,1
2024-04-16 09:00:00,276010012,-200000,200000,1
2024-04-16 09:00:00,276010013,-1900000,-3000000,2
2024-04-16 11:00:00,380010001,100000,0,2
2024-04-16 11:00:00,380010002,1300000,1200000,2
2024-04-16 11:00:00,380010004,1300000,1200000,2
2024-04-16 11:00:00,380010025,0,100000,1
2024-04-16 11:00:00,380010026,900000,1200000,1
2024-04-16 12:00:00,380010007,3844000,6034000,1
2024-04-16 12:05:00,276070001,42700000,42900000,1
2024-04-16 12:05:00,276070002,-78700000,-79200000,2
2024-04-16 12:05:00,999050001,6000000,43900000,1
2024-04-16 13:30:00,724030001,72600000,82500000,1
2024-04-18 11:00:00,999010016,32000000,29500000,2
2024-04-18 12:00:00,999030015,0,-400000,2
2024-04-19 09:00:00,276010014,-400000,200000,1
2024-04-19 09:00:00,276010015,-1300000,-2900000,2
2024-04-19 11:00:00,724070001,-4465000,-2350000,1
2024-04-22 17:00:00,999040006,-13600000,-14700000,2
2024-04-23 10:15:00,250500001,43700000,44900000,1
2024-04-23 10:15:00,250500002,48100000,50500000,1
2024-04-23 10:15:00,250500003,47900000,49900000,1
2024-04-23 10:30:00,276500001,40500000,42200000,1
2024-04-23 10:30:00,276500002,48400000,53300000,1
2024-04-23 10:30:00,276500003,48700000,50500000,1
2024-04-23 11:00:00,999500001,45500000,45600000,1
2024-04-23 11:00:00,999500002,50800000,52900000,1
2024-04-23 11:00:00,999500003,50600000,51400000,1
2024-04-24 11:00:00,380010018,91100000,87600000,2
2024-04-24 11:00:00,380010019,96600000,95200000,2
2024-04-24 11:30:00,276030001,86700000,89900000,1
2024-04-24 11:30:00,276030002,89700000,88900000,2
2024-04-24 11:30:00,276030003,88800000,89400000,1
2024-04-25 10:00:00,724010008,-11100000,-8200000,1
2024-04-26 09:45:00,250010007,93000000,90000000,2
2024-04-26 10:00:00,724010009,900000,600000,2
2024-04-26 10:00:00,724010010,11230000,12290000,2
